0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
County,MOECC Site Number,Lat,Long,Site Type,Sample date,Year,bimaculatus Queens,bimaculatus workers,bimaculatus males,bimaculatus total,griseocollis Queen,griseocollis worker,griseocollis male,griseocollis total,impatiens Queens,impatiens workers,impatiens males,impatiens total, fervidus Queens,fervidus workers,fervidus males,fervidus total,borealis Queens,borealis workers,borealis males,borealis total,rufocinctus Queens,rufocinctus workers,rufocinctus males,rufocinctus total,pensylvanicus Queens,pensylvanicus workers,pensylvanicus males,pensylvanicus total,vagans Queens,vagans workers,vagans males,vagans total,ternarius Queens,ternarius workers,ternarius males,ternarius total,perplexus Queens,perplexus workers,perplexus males,perplexus total,citrinus Queens,citrinus males,citrinus total,auricomus Queens,auricomus workers,auricomus males,auricomus total,terricola Queens,terricola workers,terricola males,terricola total,flavidus Queens,flavidus males,flavidus total,Flowers in bloom,Flowers Bees Collected on,,
Thames Centre,20,42.913807,-80.952353,Semi-natural remnant,08/17/2015,2015,0,0,2,2,0,1,1,2,1,16,0,17,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,6,1,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,
Leamington,21,42.0508,-82.57956,Agriculture,05/27/2015,2015,0,4,0,4,3,0,0,3,0,9,2,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"daisy fleabane, purple nightshade","daisy fleabane, purple nightshade",,
Leamington,21,42.0508,-82.57956,Agriculture,07/17/2015,2015,0,6,1,7,0,7,0,7,0,9,16,25,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"red clover, crown vetch, white clover, Queen Anne's lace, white sweet clover, cattail, sow thistle ","sow thistle, crown vetch",,
Lucan Biddulph,22,43.198093,-81.428154,Semi-natural remnant,07/03/2015,2015,0,1,0,1,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Lucan Biddulph,22,43.198093,-81.428154,Semi-natural remnant,08/12/2015,2015,0,3,1,4,0,6,5,11,0,6,3,9,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,,,
Middlesex Centre,23,43.107399,-81.284914,Agriculture,07/15/2015,2015,1,9,0,10,1,7,0,8,0,10,0,10,0,0,0,0,1,3,0,4,4,0,0,4,2,2,0,4,0,3,0,3,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"cow vetch, Queen Anne's lace, daisy fleabane, bindweed, red clover, medium-sized daisy, crown vetch",cow vetch,,
Goderich,24,43.755412,-81.699234,Semi-natural remnant,06/04/2015,2015,0,1,0,1,2,0,0,2,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Ashfield-Colborne-Wawanosh,24,43.755412,-81.699234,Semi-natural remnant,07/15/2015,2015,3,14,0,17,2,8,0,10,0,12,0,12,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Kincardine,25,44.06538,-81.61623,Semi-natural remnant,06/17/2015,2015,0,1,0,1,8,1,0,9,1,0,0,1,1,0,0,1,6,0,0,6,5,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Huron-Kinloss,25,44.06538,-81.61623,Semi-natural remnant,07/21/2015,2015,0,3,0,3,1,7,0,8,0,2,0,2,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
